time,bkgd_a,bkgd_b,bkgd_c
1502898780,1720,79872,99064.5389458167
1502902260,1800,74752,99071.9097070341
1502902380,1780,76800,99079.2804682514
1502905080,1890,71680,99090.7547969246
1502905980,1940,69632,99102.2291255978
1502909580,1940,69632,99092.468244171
1502913180,2000,69632,99077.8542646402
1502916780,2170,62464,99062.3643099933
1502920380,2170,62464,99023.313412463
1502923980,2110,65536,98989.1780465329
1502927580,2060,69632,98965.6000824611
1502931180,1940,72704,98936.2941413433
1502934780,1830,77824,98917.4971860381
1502938380,1670,88064,98933.5089116921
1502941980,1610,92160,98977.2868727409
1502945580,1610,92160,99026.077805834
1502949180,1610,95232,99035.8359924527
1502952780,1560,95232,99041.3960199406
1502956380,1560,95232,99041.3960199406
1502959980,1610,95232,99035.8359924527
1502960820,1610,95232,99038.2755391073
1502961900,1610,95232,99040.715085762
1502963460,1600,90112,99043.1546324167
1502963580,1610,92160,99045.5941790713
1502967180,1610,95232,99045.5941790713
1502970780,1610,92160,99045.5941790713
1502974380,1610,92160,99055.3523656899
1502977980,1670,92160,99099.4064902578
1502981580,1670,92160,99148.1998957183
1502985180,1720,89088,99181.6480451517
1502988780,1780,86016,99225.6742041679
1502992380,1830,82944,99268.8568208381
1502993760,1890,79872,99278.2713467718
1502995980,1940,77824,99287.6858727056
1502999580,2060,69632,99258.4554782466
1503003180,2110,69632,99203.9474663577
1503006780,2170,67584,99159.991553819
1503010380,2110,67584,99106.325002801
1503013980,2060,69632,99063.2185477229
1503017580,1940,74752,99053.4247184641
1503021180,1830,79872,99034.6170643047
1503024780,1720,86016,99054.7798542054
1503028380,1670,88064,99079.8891280736
1503031980,1610,95232,99152.9342318762
1503035580,1610,92160,99133.417858639
1503037380,1560,95232,99138.5224134315
1503038700,1560,95232,99143.6269682239
1503039180,1560,95232,99148.7315230164
1503042780,1560,95232,99148.7315230164
1503045060,1560,95232,99138.9737500095
1503046260,1600,90112,99129.2159770027
1503046380,1560,95232,99119.4582039958
1503048240,1560,95232,99109.7004309889
1503049980,1560,95232,99099.942657982
1503053580,1560,95232,99090.1848849751
1503057180,1560,95232,99090.1848849751
1503060780,1560,92160,99109.7004309889
1503064380,1610,89088,99152.9342318762
1503067980,1610,89088,99182.2087917321
1503071580,1670,88064,99196.9933011788
1503075180,1720,86016,99191.407136763
1503076800,1780,82944,99181.3320295227
1503078780,1830,79872,99171.2569222825
1503082380,2000,71680,99155.9451842576
1503085980,2060,71680,99121.78962688
1503089580,2110,69632,99096.5627564453
1503093180,2110,69632,99057.5137710226
1503096780,2060,71680,99004.6474685658
1503100380,1940,77824,98975.3376670503
1503103980,1830,82944,98946.7771556048
1503107580,1720,89088,98927.9116632592
1503111180,1670,92160,98953.0262738763
1503114780,1610,95232,98957.7704995037
1503117480,1560,98304,98970.3099407015
1503118380,1560,98304,98982.8493818993
1503121980,1670,92160,98972.5436360605
1503125580,1560,98304,98934.0605168648
1503125940,1560,98304,98919.4238573545
1503129180,1560,98304,98904.7871978442
1503132780,1560,98304,98895.0294248373
1503136380,1560,98304,98846.2405598028
1503139980,1560,98304,98826.725013789
1503143580,1610,95232,98821.1558868429
1503147180,1610,95232,98830.9140734615
1503150780,1610,95232,98840.6722600801
1503154380,1610,95232,98869.946819936
1503157980,1610,95232,98899.2213797919
1503161580,1610,92160,98938.2541262664
1503164460,1720,89088,98940.7608595253
1503165180,1670,88064,98943.2675927842
1503168780,1830,82944,98937.0171657492
1503170220,1890,76800,98924.4641131012
1503172380,2000,71680,98911.9110604531
1503175980,2060,71680,98858.219770673
1503179580,2000,77824,98804.5360459791
1503183060,2100,74752,98787.4495989582
1503183180,2060,74752,98770.3631519374
1503186780,2000,71680,98736.2064913138
1503190380,1890,79872,98727.2247497543
1503193980,1780,82944,98688.8971724743
1503197580,1720,89088,98693.6934645892
1503201180,1670,92160,98728.5766087581
1503204780,1670,92160,98728.5766087581
1503208380,1610,95232,98713.815834038
1503211980,1560,95232,98709.6317377064
1503213900,1560,98304,98716.6028791815
1503215580,1610,95232,98723.5740206566
1503219180,1610,92160,98723.5740206566
1503219600,1670,88064,98706.5579525232
1503222780,1670,92160,98689.5418843897
1503226380,1670,88064,98679.7832032976
1503227640,1670,88064,98679.7832032976
1503229980,1670,88064,98679.7832032976
1503233580,1670,88064,98689.5418843897
1503237180,1610,92160,98743.0903938939
1503240780,1670,92160,98796.8873764027
1503244380,1720,86016,98830.3207471467
1503246960,1780,82944,98844.6289970257
1503247980,1830,79872,98858.9372469048
1503251580,1940,74752,98858.2070899295
1503255180,2060,66560,98858.219770673
1503258780,2220,65536,98851.602883826
1503262380,2220,65536,98822.3135200086
1503265980,2280,62464,98807.5894081655
1503269580,2170,69632,98749.9571297508
1503273180,2170,69632,98759.7198541334
1503276780,2000,79872,98745.967856266
1503280380,1940,80896,98741.0765128087
1503283980,1720,92160,98791.2843807017
1503287580,1720,92160,98801.0434723129
1503291180,1670,95232,98855.4394629553
1503294060,1670,95232,98870.0774845935
1503294780,1670,95232,98884.7155062316
1503298380,1720,92160,98937.6707548704
1503301980,1670,92160,98953.0262738763
1503304500,1720,92160,98955.1076059846
1503305580,1720,92160,98957.1889380929
1503307800,1670,92160,98962.0684838986
1503309180,1720,89088,98966.9480297042
1503311220,1670,92160,98962.0684838986
1503312780,1720,89088,98957.1889380929
1503316380,1720,89088,98957.1889380929
1503319980,1720,89088,98996.225304538
1503322320,1720,89088,99015.7434877604
1503322920,1720,89088,99035.2616709829
1503323580,1720,89088,99054.7798542054
1503327180,1720,89088,99113.334403873
1503330780,1830,82944,99181.016912138
1503332220,1830,82944,99200.5368918492
1503334380,1830,82944,99220.0568715603
1503337980,1890,79872,99225.0090762237
1503341580,2000,74752,99243.7974688273
1503343620,2000,74752,99236.4837037477
1503345180,2060,74752,99229.1699386681
1503348780,2170,69632,99228.3306244971
1503352380,2220,65536,99212.8383709077
1503355980,2170,69632,99179.5170025842
1503359580,2110,69632,99184.4229736464
1503363180,1940,77824,99170.5552955849
1503366780,1890,79872,99166.4462142861
1503370380,1780,86016,99137.837962618
1503373980,1780,82944,99157.3571274069
1503377580,1720,86016,99201.1662283742
1503381180,1780,82944,99215.9146217734
1503384780,1610,89088,99221.2415382066
1503388380,1560,92160,99168.2470690302
1503391980,1500,95232,99143.6692565251
1503395580,1560,95232,99138.9737500096
1503396660,1610,92160,99163.1041850481
1503399180,1670,88064,99187.2346200867
