time,bkgd_a,bkgd_b,bkgd_c
1519246380,11.1,46,99714.9972140238
1519249980,11.7,39,99710.4746801145
1519253580,12.8,37,99729.7647922742
1519257180,12.2,34,99675.79793629
1519260780,11.7,41,99642.1931967687
1519264380,10.6,52,99652.0992067434
1519267980,9.4,63,99690.3016357621
1519271580,8.9,73,99715.1294747635
1519275180,8.3,74,99719.5448496042
1519278780,7.8,73,99734.5826582018
1519282380,7.2,80,99768.2059298747
1519285980,7.8,79,99744.3337906478
1519289580,4.4,86,99723.2934407586
1519293180,8.3,74,99719.5448496042
1519296780,8.3,76,99729.2964186292
1519300380,8.9,73,99705.3773838614
1519303980,8.3,71,99700.0417115542
1519307580,7.8,68,99666.3247310794
1519311180,7.2,65,99748.7047168313
1519314780,7.8,58,99783.338320432
1519318380,8.9,51,99880.9150201006
1519321980,10,44,99919.9153357866
1519325580,11.1,39,99968.6008457918
1519329180,11.7,52,99934.8281253936
1519332780,12.8,57,99856.5853872365
1519336380,12.2,55,99753.8373161579
1519339980,11.1,66,99714.9972140238
1519343580,10.6,61,99632.592091307
1519347180,10,63,99559.0527816212
1519350780,8.9,63,99539.5918385244
1519354380,8.3,63,99631.7807283793
1519357980,7.8,63,99705.3292608636
1519361580,7.8,60,99754.0849230939
1519365180,7.2,58,99816.9589624831
1519368780,6.7,60,99822.2051437395
1519372380,6.7,57,99880.7061430423
1519375980,5.6,62,99880.483601437
1519379580,5.6,57,99929.2295670795
1519383180,5,60,99933.5030732149
1519386780,4.4,62,99957.248381382
1519390380,3.9,62,100011.132565872
1519393980,3.3,67,100064.068199178
1519397580,3.9,64,100147.599998223
1519401180,5,62,100245.460160167
1519404780,7.2,47,100323.990501611
1519408380,8.9,31,100358.767474307
1519411980,10,29,100397.814394006
1519415580,10.6,28,100364.108920171
1519419180,11.7,26,100325.008030227
1519422780,11.7,29,100227.463054018
1519426380,11.7,32,100246.97204926
1519429980,11.7,41,100266.481044502
1519433580,10.6,44,100266.573342989
1519437180,9.4,56,100294.958131694
1519440780,8.3,63,100324.142129154
1519444380,7.8,60,100358.655134749
1519447980,5,70,100352.695408806
1519451580,5.6,67,100358.194064733
1519455180,4.4,73,100366.669527473
1519458780,2.8,72,100361.571760585
1519462380,2.2,75,100375.452914532
1519465980,2.8,75,100371.318441343
1519469580,3.3,79,100346.735058498
1519473180,3.3,76,100346.735058498
1519476780,3.3,79,100356.482191578
1519480380,2.8,82,100342.07839907
1519483980,2.8,78,100361.571760585
1519487580,5,70,100430.684680544
1519491180,6.7,70,100465.716136071
1519494780,9.4,54,100499.761138381
1519498380,10.6,46,100510.412285944
1519501980,10.6,46,100461.644497353
1519505580,11.1,48,100378.268250956
1519509180,12.2,64,100300.112975233
1519512780,12.8,69,100237.047172123
1519516380,12.2,66,100183.053905431
1519519980,11.7,69,100071.391092085
1519523580,10.6,77,100100.76286178
1519527180,10,77,100144.235301889
1519530780,9.4,77,100158.422793903
1519534380,8.9,77,100173.477747166
1519537980,8.3,80,100158.365455729
1519541580,8.3,80,100148.613886704
1519545180,7.2,82,100158.230190742
1519548780,7.2,80,100158.230190742
1519552380,3.9,93,100108.609303266
1519555980,5.6,85,100133.962622778
1519559580,3.3,92,100112.803864578
1519563180,2.2,96,100112.307247118
1519566780,2.2,96,100131.799518779
1519570380,3.9,96,100186.59069318
1519573980,5,89,100235.711501199
1519577580,7.8,79,100270.894942735
1519581180,8.3,74,100275.384284029
1519584780,10.6,65,100286.080458426
1519588380,11.1,59,100212.450491723
1519591980,12.2,49,100124.524370531
1519595580,12.8,47,100080.960286016
1519599180,13.3,60,100007.239108306
1519602780,13.3,62,99938.9481441314
1519606380,12.8,64,99885.8516783817
1519609980,11.1,71,99851.5530157451
1519613580,10,71,99861.3970837598
1519617180,9.4,71,99865.8470700649
1519620780,9.4,74,99826.8369735532
1519624380,9.4,77,99817.0844494252
1519626660,9.4,80,99812.2081873613
1519627980,9.4,80,99807.3319252973
1519631580,10,77,99734.6075377016
1519635180,10,80,99666.3362436704
1519638780,10,83,99568.8058236257
1519641000,10,86,99520.0406136033
1519642380,10,83,99471.275403581
1519645260,10,86,99410.1193474327
1519645980,9.4,93,99348.9632912843
1519646700,9.4,93,99314.960673349
1519648500,10,89,99280.9580554136
1519649580,10,86,99246.9554374782
1519653180,10,89,99188.4371854514
1519656780,9.4,93,99134.4077604697
1519658100,9.4,97,99144.1700664034
1519659600,8.9,96,99153.9323723371
1519660200,8,100,99163.6946782708
1519660380,8.3,97,99173.4569842045
1519663980,8.3,97,99163.7054151795
1519665420,8.9,96,99163.6853740165
1519667580,9.4,93,99163.6653328535
1519671180,11.1,89,99139.5120496271
1519674780,11.7,71,99076.4323347606
1519678380,11.1,63,98963.9403045569
1519681980,11.7,61,98891.0968799649
1519685580,11.7,59,98852.0788894816
1519689180,11.7,59,98783.7974061358
1519692780,10,61,98749.5502952503
1519693560,8.9,66,98760.2194130458
1519694280,8.3,68,98770.8885308414
1519694700,8.3,68,98781.5576486369
1519695600,7.8,73,98792.2267664324
1519696380,7.2,80,98802.895884228
1519699980,6.7,79,98837.4383221417
1519703580,6.7,76,98847.1884886922
1519707180,6.7,79,98856.9386552427
1519710780,7.2,80,98841.8983103147
1519714380,6.7,85,98798.4376559398
1519717980,7.2,71,98802.895884228
1519721580,6.7,70,98808.1878224903
1519725180,6.7,60,98847.1884886922
1519728780,7.2,47,98832.147703793
1519732380,6.7,41,98856.9386552427
1519735980,6.1,39,98861.3144310634
1519739580,5.6,41,98925.0626748444
1519743180,5.6,39,98993.3070267439
1519746780,7.2,36,99095.4140798785
1519750380,8.9,31,99169.0123842416
1519753980,10.6,27,99232.6962248612
1519757580,11.7,25,99281.276784798
1519761180,11.7,31,99291.0312824189
1519764780,12.2,26,99266.0911919835
1519768380,12.8,25,99232.2378428068
1519771980,12.8,32,99241.9932731885
1519775580,12.2,38,99266.0911919835
1519779180,12.2,45,99305.1108819174
1519782780,10.6,42,99349.7389174795
1519786380,8.9,42,99422.5667476982
1519789980,9.4,34,99456.2410566916
1519793580,7.8,45,99481.0532146045
1519797180,6.1,65,99475.5415325582
1519800780,4.4,67,99460.0941325571
1519804380,3.9,70,99504.253531425
1519807980,5,67,99543.5567145252
1519811580,3.9,67,99494.5058576856
1519815180,2.8,72,99494.1171731622
1519818780,2.2,75,99478.8084181597
1519822380,3.3,76,99537.7230128588
1519822980,3.3,76,99550.3885226592
1519825980,5,76,99563.0540324596
1519829580,5.6,70,99607.5061938391
1519833180,7.2,74,99670.6998646578
